,,,,,,
,,,,,,
,2019,,,,,
1471 Götene,44.6,,,,,
Total,,,,,,
1472 Tibro,43.7,,,,,
Total,,,,,,
1473 Töreboda,44.9,,,,,
Total,,,,,,
1480 Göteborg,39.0,,,,,
Total,,,,,,
1481 Mölndal,39.1,,,,,
Total,,,,,,
1482 Kungälv,41.5,,,,,
Total,,,,,,
1484 Lysekil,47.2,,,,,
Total,,,,,,
1485 Uddevalla,41.8,,,,,
Total,,,,,,
1486 Strömstad,42.8,,,,,
Total,,,,,,
1487 Vänersborg,42.6,,,,,
Total,,,,,,
1488 Trollhättan,40.5,,,,,
Total,,,,,,
1489 Alingsås,42.2,,,,,
Total,,,,,,
1490 Borås,40.7,,,,,
Total,,,,,,
1491 Ulricehamn,43.5,,,,,
Total,,,,,,
1492 Åmål,45.1,,,,,
Total,,,,,,
1493 Mariestad,44.8,,,,,
Total,,,,,,
1494 Lidköping,43.2,,,,,
Total,,,,,,
1495 Skara,42.7,,,,,
Total,,,,,,
1496 Skövde,40.8,,,,,
Total,,,,,,
1497 Hjo,44.9,,,,,
Total,,,,,,
1498 Tidaholm,43.7,,,,,
Total,,,,,,
1499 Falköping,42.0,,,,,
Total,,,,,,
1715 Kil,43.4,,,,,
Total,,,,,,
1730 Eda,44.3,,,,,
Total,,,,,,
1737 Torsby,47.2,,,,,
Total,,,,,,
1760 Storfors,46.7,,,,,
Total,,,,,,
1761 Hammarö,40.5,,,,,
Total,,,,,,
1762 Munkfors,47.0,,,,,
Total,,,,,,
1763 Forshaga,42.7,,,,,
Total,,,,,,
1764 Grums,44.9,,,,,
Total,,,,,,
1765 Årjäng,44.3,,,,,
Total,,,,,,
1766 Sunne,44.9,,,,,
Total,,,,,,
1780 Karlstad,41.5,,,,,
Total,,,,,,
1781 Kristinehamn,45.3,,,,,
Total,,,,,,
1782 Filipstad,45.4,,,,,
Total,,,,,,
1783 Hagfors,48.3,,,,,
Total,,,,,,
1784 Arvika,44.8,,,,,
Total,,,,,,
1785 Säffle,45.6,,,,,
Total,,,,,,
1814 Lekeberg,41.0,,,,,
Total,,,,,,
1860 Laxå,46.5,,,,,
Total,,,,,,
1861 Hallsberg,42.6,,,,,
Total,,,,,,
1862 Degerfors,46.0,,,,,
Total,,,,,,
1863 Hällefors,45.8,,,,,
Total,,,,,,
1864 Ljusnarsberg,47.8,,,,,
Total,,,,,,
1880 Örebro,39.6,,,,,
Total,,,,,,
1881 Kumla,40.6,,,,,
Total,,,,,,
1882 Askersund,46.3,,,,,
Total,,,,,,
1883 Karlskoga,44.1,,,,,
Total,,,,,,
1884 Nora,44.7,,,,,
Total,,,,,,
1885 Lindesberg,43.8,,,,,
Total,,,,,,
1904 Skinnskatteberg,47.0,,,,,
Total,,,,,,
1907 Surahammar,43.9,,,,,
Total,,,,,,
1960 Kungsör,43.4,,,,,
Total,,,,,,
1961 Hallstahammar,43.1,,,,,
Total,,,,,,
1962 Norberg,45.5,,,,,
Total,,,,,,
1980 Västerås,41.0,,,,,
Total,,,,,,
1981 Sala,43.8,,,,,
Total,,,,,,
1982 Fagersta,43.1,,,,,
Total,,,,,,
1983 Köping,43.3,,,,,
Total,,,,,,
1984 Arboga,44.6,,,,,
Total,,,,,,
2021 Vansbro,45.6,,,,,
Total,,,,,,
2023 Malung-Sälen,45.5,,,,,
Total,,,,,,
2026 Gagnef,43.7,,,,,
Total,,,,,,
2029 Leksand,46.1,,,,,
Total,,,,,,
2031 Rättvik,48.8,,,,,
Total,,,,,,
2034 Orsa,46.0,,,,,
Total,,,,,,
2039 Älvdalen,46.5,,,,,
Total,,,,,,
2061 Smedjebacken,46.4,,,,,
Total,,,,,,
2062 Mora,45.4,,,,,
Total,,,,,,
2080 Falun,42.2,,,,,
Total,,,,,,
2081 Borlänge,40.7,,,,,
Total,,,,,,
2082 Säter,44.8,,,,,
Total,,,,,,
2083 Hedemora,44.7,,,,,
Total,,,,,,
2084 Avesta,44.0,,,,,
Total,,,,,,
2085 Ludvika,43.3,,,,,
Total,,,,,,
2101 Ockelbo,46.0,,,,,
Total,,,,,,
2104 Hofors,45.1,,,,,
Total,,,,,,
2121 Ovanåker,45.4,,,,,
Total,,,,,,
2132 Nordanstig,45.2,,,,,
Total,,,,,,
2161 Ljusdal,45.6,,,,,
Total,,,,,,
2180 Gävle,41.6,,,,,
Total,,,,,,
2181 Sandviken,43.6,,,,,
Total,,,,,,
2182 Söderhamn,45.6,,,,,
Total,,,,,,
2183 Bollnäs,44.3,,,,,
Total,,,,,,
2184 Hudiksvall,44.7,,,,,
Total,,,,,,
2260 Ånge,46.6,,,,,
Total,,,,,,
2262 Timrå,43.3,,,,,
Total,,,,,,
2280 Härnösand,44.3,,,,,
Total,,,,,,
2281 Sundsvall,42.4,,,,,
Total,,,,,,
2282 Kramfors,46.9,,,,,
Total,,,,,,
2283 Sollefteå,46.3,,,,,
Total,,,,,,
2284 Örnsköldsvik,43.7,,,,,
Total,,,,,,
2303 Ragunda,46.8,,,,,
Total,,,,,,
2305 Bräcke,46.9,,,,,
Total,,,,,,
2309 Krokom,41.8,,,,,
Total,,,,,,
2313 Strömsund,46.7,,,,,
Total,,,,,,
2321 Åre,40.1,,,,,
Total,,,,,,
2326 Berg,46.3,,,,,
Total,,,,,,
2361 Härjedalen,47.2,,,,,
Total,,,,,,
2380 Östersund,41.9,,,,,
Total,,,,,,
2401 Nordmaling,45.4,,,,,
Total,,,,,,
2403 Bjurholm,46.5,,,,,
Total,,,,,,
2404 Vindeln,45.5,,,,,
Total,,,,,,
2409 Robertsfors,45.0,,,,,
Total,,,,,,
2417 Norsjö,46.0,,,,,
Total,,,,,,
2418 Malå,45.5,,,,,
Total,,,,,,
2421 Storuman,46.9,,,,,
Total,,,,,,
2422 Sorsele,47.1,,,,,
Total,,,,,,
2425 Dorotea,48.5,,,,,
Total,,,,,,
2460 Vännäs,41.6,,,,,
Total,,,,,,
2462 Vilhelmina,45.0,,,,,
Total,,,,,,
2463 Åsele,47.5,,,,,
Total,,,,,,
2480 Umeå,38.9,,,,,
Total,,,,,,
2481 Lycksele,43.5,,,,,
Total,,,,,,
2482 Skellefteå,43.6,,,,,
Total,,,,,,
2505 Arvidsjaur,45.7,,,,,
Total,,,,,,
2506 Arjeplog,47.2,,,,,
Total,,,,,,
2510 Jokkmokk,47.0,,,,,
Total,,,,,,
2513 Överkalix,49.7,,,,,
Total,,,,,,
2514 Kalix,47.0,,,,,
Total,,,,,,
2518 Övertorneå,50.0,,,,,
Total,,,,,,
2521 Pajala,48.6,,,,,
Total,,,,,,
2523 Gällivare,45.2,,,,,
Total,,,,,,
2560 Älvsbyn,44.8,,,,,
Total,,,,,,
2580 Luleå,42.1,,,,,
Total,,,,,,
2581 Piteå,43.4,,,,,
Total,,,,,,
2582 Boden,44.3,,,,,
Total,,,,,,
2583 Haparanda,46.3,,,,,
Total,,,,,,
2584 Kiruna,42.5,,,,,
Total,,,,,,
