Code,Seat,County,Population,Land area (km2),Density (people/km2),Municipality,Average_age,Latitude,Longitude,pharmacy_count
1273,Osby,Skåne County,12692,576.24,22.03,Osby,43.9,56.40981855,13.9384145796619,1
882,Oskarshamn,Kalmar County,26258,1049.49,25.02,Oskarshamn,43.6,57.2632811,16.4443478,2
2121,Edsbyn,Gävleborg County,11392,1873.31,6.08,Ovanaker,45.4,61.3774428,15.8181755,1
481,Oxelösund,Södermanland County,11371,35.39,321.31,Oxelosund,45.2,58.56252765,17.3413797706241,0
2521,Pajala,Norrbotten County,6300,7840.19,0.80,Pajala,48.6,67.40635805,22.8904105729555,0
1402,Partille,Västra Götaland County,36097,56.83,635.18,Partille,39.6,57.7294288,12.1356848456024,50
1275,Perstorp,Skåne County,7104,158.78,44.74,Perstorp,41.9,56.1818767,13.3607436875413,1
2581,Piteå,Norrbotten County,41247,3086.95,13.36,Pitea,43.4,65.3134764,21.4899394,2
2303,Hammarstrand,Jämtland County,5456,2511.14,2.17,Ragunda,46.8,63.1085771,16.3558429,0
2409,Robertsfors,Västerbotten County,6734,1292.21,5.21,Robertsfors,45.0,64.19872055,20.9258858227625,1
1081,Ronneby,Blekinge County,27874,825.34,33.77,Ronneby,43.5,56.19838435,15.2723425645096,3
2031,Rättvik,Dalarna County,10778,1920.66,5.61,Rattvik,48.8,61.20567045,15.3393756358095,0
1981,Sala,Västmanland County,21766,1166.85,18.65,Sala,43.8,59.97519665,16.4528744713218,2
128,Salem,Stockholm County,16006,54.09,295.91,Salem,39.2,59.23870475,17.7283886990123,28
2181,Sandviken,Gävleborg County,37179,1166.40,31.88,Sandviken,43.6,60.619422,16.7724214,3
191,Märsta,Stockholm County,43116,327.40,131.69,Sigtuna,38.1,59.6252383,17.8515672,10
1291,Simrishamn,Skåne County,18900,391.36,48.29,Simrishamn,49.4,55.54488965,14.4284608267344,5
1265,Sjöbo,Skåne County,18412,492.17,37.41,Sjobo,43.8,55.64272265,13.7952741224743,2
1495,Skara,Västra Götaland County,18472,428.65,43.09,Skara,42.7,58.3846075,13.4397675,2
2482,Skellefteå,Västerbotten County,71927,6802.85,10.57,Skelleftea,43.6,64.7520185,20.959339,3
1904,Skinnskatteberg,Västmanland County,4406,659.43,6.68,Skinnskatteberg,47.0,59.79257735,15.745683903684,1
1264,Skurup,Skåne County,14997,193.58,77.47,Skurup,41.9,55.35068515,13.6027261140567,0
1496,Skövde,Västra Götaland County,52673,673.68,78.19,Skovde,40.8,58.3898453,13.8443792,6
2061,Smedjebacken,Dalarna County,10727,947.92,11.32,Smedjebacken,46.4,60.0704423,15.4493910261445,1
2283,Sollefteå,Västernorrland County,19576,5397.82,3.63,Solleftea,46.3,63.44166445,16.7493966234506,0
163,Sollentuna,Stockholm County,67846,52.64,1288.87,Sollentuna,39.1,59.4293164,17.9500556,50
184,Solna (Skytteholm),Stockholm County,72495,19.30,3756.22,Solna,39.2,59.361367,18.0013693,50
2422,Sorsele,Västerbotten County,2620,7368.44,0.36,Sorsele,47.1,65.7105476,16.7522147303034,0
1427,Kungshamn,Västra Götaland County,8950,138.21,64.76,Sotenas,49.4,58.3608171,11.2511421,1
1230,Staffanstorp,Skåne County,22615,106.82,211.71,Staffanstorp,39.6,55.65028535,13.220185689362,20
1415,Stenungsund,Västra Götaland County,24911,251.91,98.89,Stenungsund,41.3,58.0582119,11.9138339319726,3
180,Stockholm,Stockholm County,955397,187.17,4777.29,Stockholm,39.2,59.3251172,18.0710935,50
1760,Storfors,Värmland County,4120,391.47,10.52,Storfors,46.7,59.4631575,14.2778645739392,0
2421,Storuman,Västerbotten County,5973,7303.53,0.82,Storuman,46.9,65.44151115,15.6182826467019,0
486,Strängnäs,Södermanland County,33269,739.70,44.98,Strangnas,42.6,59.3763155,17.0268194,3
1486,Strömstad,Västra Götaland County,12454,467.48,26.64,Stromstad,42.8,58.9377567,11.1736096,2
2313,Strömsund,Jämtland County,11982,10465.08,1.14,Stromsund,46.7,64.2337727,15.542724441131,0
183,Sundbyberg,Stockholm County,42211,8.67,4868.63,Sundbyberg,37.5,59.3628802,17.9681359,50
2281,Sundsvall,Västernorrland County,96977,3189.61,30.40,Sundsvall,42.4,62.3907552,17.3071024,10
1766,Sunne,Värmland County,13046,1288.11,10.13,Sunne,44.9,59.88759665,13.0522806574543,0
1907,Surahammar,Västmanland County,9823,343.81,28.57,Surahammar,43.9,59.78210325,16.127223792329,0
